LOCATION,Country,SUBJECT,Subject,STAGES,Development stages,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,VC_INV,Venture capital investments,START,Start-up and other early stage,USD_V,"USD, current prices",2015,2015,USD,US Dollar,6,Millions,,,84.14156819,,
AUS,Australia,VC_INV,Venture capital investments,START,Start-up and other early stage,USD_V,"USD, current prices",2016,2016,USD,US Dollar,6,Millions,,,86.97500918,,
AUS,Australia,VC_INV,Venture capital investments,START,Start-up and other early stage,USD_V,"USD, current prices",2017,2017,USD,US Dollar,6,Millions,,,101.168186,,
AUS,Australia,VC_INV,Venture capital investments,START,Start-up and other early stage,USD_V,"USD, current prices",2018,2018,USD,US Dollar,6,Millions,,,105.3487267,,
AUS,Australia,VC_INV,Venture capital investments,START,Start-up and other early stage,USD_V,"USD, current prices",2019,2019,USD,US Dollar,6,Millions,,,100.7989534,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2006,2006,USD,US Dollar,6,Millions,,,322.2957093,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2007,2007,USD,US Dollar,6,Millions,,,566.4925908,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2008,2008,USD,US Dollar,6,Millions,,,546.8981981,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2009,2009,USD,US Dollar,6,Millions,,,370.4602052,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2010,2010,USD,US Dollar,6,Millions,,,250.4221861,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2011,2011,USD,US Dollar,6,Millions,,,154.7248322,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2012,2012,USD,US Dollar,6,Millions,,,187.4092075,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2013,2013,USD,US Dollar,6,Millions,,,112.9514801,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2014,2014,USD,US Dollar,6,Millions,,,161.353858,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2015,2015,USD,US Dollar,6,Millions,,,171.2881924,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2016,2016,USD,US Dollar,6,Millions,,,49.06282569,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2017,2017,USD,US Dollar,6,Millions,,,211.5334798,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2018,2018,USD,US Dollar,6,Millions,,,272.7112429,,
AUS,Australia,VC_INV,Venture capital investments,LATER,Later stage venture,USD_V,"USD, current prices",2019,2019,USD,US Dollar,6,Millions,,,342.0212762,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2006,2006,PC,Percentage,0,Units,,,0.05577067,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2007,2007,PC,Percentage,0,Units,,,0.069055524,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2008,2008,PC,Percentage,0,Units,,,0.071499728,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2009,2009,PC,Percentage,0,Units,,,0.052489558,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2010,2010,PC,Percentage,0,Units,,,0.028306787,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2011,2011,PC,Percentage,0,Units,,,0.015939096,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2012,2012,PC,Percentage,0,Units,,,0.020829171,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2013,2013,PC,Percentage,0,Units,,,0.01639006,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2014,2014,PC,Percentage,0,Units,,,0.01815831,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2015,2015,PC,Percentage,0,Units,,,0.023122589,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2016,2016,PC,Percentage,0,Units,,,0.012644397,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,SH_GDP,Percentage share of GDP,2017,2017,PC,Percentage,0,Units,,,0.025028652,,
