Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AUS,31.372517,33.511932,35.797337,36.322815000000006,36.168246999999994,38.098312,38.804123,40.728859,41.996829999999996,44.778488,44.374836,44.615528000000005,47.231079,45.745182,48.13139,48.466274,49.305209999999995,51.989063,51.393173,,
AUT,,,,,30.473413,30.570971000000004,31.518833,31.065872,32.680725,33.408676,33.863789000000004,34.808361,36.127834,38.666092,38.403149,38.626846,39.671021,40.324657,40.458271,,
BEL,36.020634,37.506115,37.643966999999996,38.910216999999996,40.730312,40.605903999999995,41.863440999999995,41.339031,42.271435,42.484257,43.801159000000006,42.455688,42.989902,42.663146999999995,44.239079,43.144318,44.311111,45.725086,47.397144,,
CAN,48.400093,50.856735,51.629013,53.179329,53.197052,53.694931000000004,54.622643000000004,55.67466700000001,55.619267,55.780476,56.169838,56.401309999999995,57.056796999999996,57.603393999999994,57.725277,59.18283100000001,60.582603000000006,60.91676700000001,61.754245999999995,,
CHE,29.295521,31.066076000000002,32.359928000000004,35.009655,37.593121000000004,39.83181,40.808071000000005,36.185223,36.357128,37.610565,37.582073,38.580096999999995,40.244040999999996,41.241302000000005,42.130608,44.475066999999996,45.882003999999995,46.570305,44.819962,,
DEU,38.671585,,,37.934616,38.172512,37.541725,38.451384999999995,39.297249,38.289055,39.388084,39.207012,39.377258000000005,39.749657,39.992779,40.308151,40.524899,41.133720000000004,41.253643,41.313869,,
DNK,31.375711,34.232525,36.053307000000004,37.855179,38.220337,39.776222,41.416058,41.444328000000006,40.825264000000004,43.149895,42.87175,42.988277000000004,42.909988,44.055721000000005,44.726288000000004,44.687599,44.036968,44.34428,46.937691,,
ESP,22.250971,21.779524,21.739561,21.799734,22.942751,22.494616,21.983997,22.62182,23.916872,25.655298000000002,26.133959,27.671409999999998,28.956328999999997,29.995255,28.422802,29.588666999999997,30.527618,31.308737,32.281734,,
FIN,23.921938,23.480356,23.705975,23.732121,25.493637,25.663805,27.022612,28.066544,28.454678,29.599366999999997,31.159959999999998,32.736923,34.977001,37.168960999999996,38.66687,40.063866,40.979172,42.479965,42.821678000000006,,
FRA,14.693064000000001,14.780178,14.986973,16.786734,18.881723,19.573023000000003,20.717684,21.989632,23.960701,25.0688,26.019491,28.107714,30.430922999999996,30.876372999999997,32.109055,32.12635,30.400247999999998,30.162258,30.576908000000003,,
GRC,29.803612,33.406428999999996,35.213902000000004,37.062382,39.63393,40.673939000000004,42.462821999999996,44.087189,45.064747,47.530376000000004,48.32497,47.42931,49.205013,51.073551,50.768299,52.004166,,53.473541000000004,56.174488000000004,,
HUN,10.429003,11.754972,12.461238,12.695857,14.792785,16.105026000000002,17.283623000000002,18.863468,19.90484,20.160688,20.719744,20.983423000000002,22.250719,22.744907,24.158854,25.149963,25.584146,26.816478999999998,27.726678999999997,,
IRL,47.844826,48.525471,50.993023,51.645981,52.640175,53.185596,54.074073999999996,53.696037,55.060974,55.66750699999999,56.70573,58.721332999999994,58.554874,58.36849599999999,58.585857,59.646538,60.120392,60.426178,60.730949,,
ITA,26.57077,26.544240999999996,28.261511,32.107986,34.481209,35.375628999999996,35.957436,36.696419,39.766335,40.122009000000006,40.803711,39.784946000000005,43.036243,42.863594,44.287262,45.087276,45.223411999999996,46.594383,47.603172,,
JPN,,,,,,,,,,,,,,,40.402225,39.066757,43.396225,44.158596,45.811745,,
NLD,,,,,,40.902966,41.545238,42.6511,45.578697,46.829772999999996,47.255039000000004,46.807133,45.018452,46.648711999999996,49.008167,48.138676000000004,48.614609,48.337029,48.211601,,
NOR,14.184261,15.197033,16.765888,20.421402,23.180305,25.536215,28.039427000000003,30.047649,32.133198,35.449847999999996,37.126976,38.998249,40.798927,41.821509999999996,42.60154,43.193764,43.47826,43.526325,43.523716,,
NZL,12.948861,14.205399,15.375848000000001,16.865643,18.580444,19.114288000000002,20.043453,21.415401,23.173707999999998,23.341423000000002,24.804928,26.924165999999996,28.331630999999998,29.313473,31.439877000000003,33.139576,34.964240999999994,34.031321999999996,35.078072,,
POL,33.978283000000005,35.42757,37.484509,37.90205,38.998020000000004,40.703537,40.32674,40.025246,40.047447,39.458729,40.312317,40.311493,40.386406,41.089591999999996,41.477402000000005,40.959778,40.980919,42.644690999999995,44.259609000000005,,
PRT,33.639328000000006,36.882835,39.169037,40.438534000000004,42.302197,37.286453,39.131115,39.952,40.831505,42.351131,42.23127,42.865990000000004,43.473869,44.817904999999996,45.978123,46.408928,47.215697999999996,47.388306,47.509987,,
SWE,25.571112,25.608202,26.701601,29.236425,30.414423,31.038237,32.229095,35.022648,38.482616,39.979766999999995,37.405544,38.016293,39.260506,41.891548,44.214348,46.502586,48.844658,50.136665,51.206909,,
TUR,8.8802376,9.1435289,10.491946,11.389406,11.481482000000002,12.508089,13.459620999999999,14.199503,15.463107999999998,16.639408,17.447385999999998,18.87298,20.998264000000002,22.456688,24.793388,27.517447999999998,30.456598,31.588659000000003,33.280041,,
